item,1CM-F,2CM-F,3CM-F,4CM-F,5CM-F,6CM-M,7CM-F,8CM-F,9CM-M,10CM-F,11CM-M,12CM-F,13CM-F,14CM-F,15CM-M,16CM-M,17CM-F,18CM-F,19CM-F,20CM-F,21CM-F,22CM-M,23CM-F,24CM-M,25CM-F,26CM-F,27CM-F,28CM-M,29CM-M,30CM-M,31CM-M,32CM-M,33CM-F,34CM-F,35CM-M,36CM-M,37CM-M,38CM-F,39CM-M,1CMP-M,2CMP-F,3CMP-F,4CMP-F,5CMP-M,6CMP-M,7CMP-M,8CMP-F,9CMP-F,10CMP-F,11CMP-F,12CMP-M,1Sp-M,2Sp-M,3Sp-M,4Sp-M,5Sp-M,6Sp-M,7Sp-F,8Sp-F,9Sp-M,10Sp-F,11Sp-F,12Sp-M,13Sp-M,14Sp-F,15Sp-F,16Sp-M,17Sp-M,18Sp-M,1J-M,2J-M,1Se-M,2Se-F,3Se-F,4Se-M,5Se-M,6Se-M,7Se-F,8Se-F,9Se-M
FNC7,b,b,b,b,b,,b,a,b,b,b,b,c,b,a,b,a,a,b,b,b,,a,,,b,b,a,b,a,a,a,b,b,b,b,a,b,,b,b,b,b,,b,b,,b,b,,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
FNC8,b,a,a,b,b,,a,b,b,b,a,a,a,a,b,a,c,b,c,b,b,,b,,,b,a,b,a,c,b,b,a,b,b,b,b,c,,a,b,b,b,,b,b,,b,b,b,a,b,b,b,a,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,a,a,b,b,b,b,b,b
FNC9,c,c,b,b,b,,b,b,c,c,c,c,c,c,c,c,a,b,a,c,c,,b,,,c,c,b,c,a,b,b,c,c,c,c,b,a,,c,c,c,c,,b,c,,b,c,c,c,c,c,c,b,c,b,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,b,c,c
FNC10,a,b,a,a,a,,a,b,a,b,a,a,a,a,a,b,a,b,c,a,a,,a,,,b,a,a,a,a,b,a,a,a,b,a,,b,,a,a,b,a,,a,,,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
FNC11,a,a,a,b,b,,a,,a,a,a,a,b,a,a,a,a,b,a,a,a,,,,,a,b,a,a,b,a,a,a,a,a,a,b,a,,a,a,a,a,,a,a,,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
FP1,d,b,b,b,b,,,b,b,b,d,d,d,b,b,a,a,c,d,d,d,,c,,,b,b,c,b,d,c,b,b,b,d,b,d,d,,d,d,b,d,,d,d,,d,a,d,d,d,d,a,b,d,d,a,a,a,a,d,d,d,d,d,d,d,b,d,b,d,d,d,d,d,d,d,d,d
FP2,b,,d,a,a,,d,c,b,a,b,b,b,a,b,d,c,a,b,b,b,,b,,,a,a,e,c,d,a,a,a,a,c,c,a,c,,b,b,b,a,,d,b,,b,a,d,b,b,e,b,a,a,b,a,b,b,b,c,b,b,b,a,c,b,c,b,b,b,d,b,d,b,c,a,d,b
FP3,a,b,d,b,b,,b,c,b,b,d,b,a,b,b,b,b,d,d,b,b,,a,,,b,b,e,c,d,b,b,b,c,b,c,a,a,,b,b,b,b,,d,b,,b,b,c,b,b,e,c,b,a,b,b,b,b,d,c,c,b,b,c,c,b,c,b,c,c,d,b,c,b,c,b,d,a
FP4,b,b,b,b,b,,b,a,b,c,b,b,b,b,b,b,b,a,b,b,b,,b,,,b,b,a,b,b,b,b,b,b,b,b,b,b,,b,b,b,b,,b,b,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
FP5,a,,a,a,a,,a,a,a,b,b,a,a,b,a,a,a,a,a,a,a,,a,,,a,b,a,a,a,b,a,b,a,b,a,b,b,,a,a,a,a,,a,a,,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b
FP6,b,,a,a,a,,a,a,b,b,b,b,a,b,a,b,a,b,a,b,b,,a,,,b,b,b,b,a,a,a,b,b,a,b,b,b,,b,b,b,b,,b,b,,b,b,b,b,b,a,b,b,a,b,b,b,b,a,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
FP7,b,,a,a,a,,a,,a,a,a,a,a,,a,a,a,a,a,a,a,,a,,,a,a,a,a,a,a,a,,a,a,a,b,a,,a,b,a,a,,a,a,,a,a,a,a,b,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,b
